file_id,file_name,longitude_latitude,buildings
53,BLD00184_PS3_K3A_NIA0276,"[[31.3304437735, 29.9892972433, 0.0], [31.3362801049, 29.9893711324, 0.0], [31.3361953612, 29.9944516486, 0.0], [31.3303587328, 29.9943777445, 0.0]]",70
54,BLD00186_PS3_K3A_NIA0276,"[[31.342116458, 29.9894447629, 0.0], [31.3479528326, 29.9895181349, 0.0], [31.3478686828, 29.9945986811, 0.0], [31.3420320112, 29.9945252941, 0.0]]",46
55,BLD00187_PS3_K3A_NIA0276,"[[31.3479528326, 29.9895181349, 0.0], [31.3537892288, 29.9895912483, 0.0], [31.3537053759, 29.9946718094, 0.0], [31.3478686828, 29.9945986811, 0.0]]",19
56,BLD00192_PS3_K3A_NIA0276,"[[31.3771350268, 29.9898811169, 0.0], [31.3829715292, 29.9899529377, 0.0], [31.3828891612, 29.9950335725, 0.0], [31.3770523618, 29.9949617371, 0.0]]",17
57,BLD00194_PS3_K3A_NIA0276,"[[31.3888080528, 29.9900245, 0.0], [31.3946445972, 29.9900958037, 0.0], [31.3945628232, 29.9951764676, 0.0], [31.3887259817, 29.9951051494, 0.0]]",166
58,BLD00197_PS3_K3A_NIA0276,"[[31.4063177488, 29.9902376355, 0.0], [31.4121543557, 29.9903081636, 0.0], [31.4120734727, 29.9953888708, 0.0], [31.4062365687, 29.9953183283, 0.0]]",60
59,BLD00204_PS3_K3A_NIA0276,"[[31.4471744285, 29.9907259022, 0.0], [31.4530111785, 29.9907946203, 0.0], [31.4529323746, 29.9958754266, 0.0], [31.4470953276, 29.9958066945, 0.0]]",4
60,BLD00205_PS3_K3A_NIA0276,"[[31.4530111785, 29.9907946203, 0.0], [31.4588479486, 29.9908630798, 0.0], [31.4587694417, 29.9959439001, 0.0], [31.4529323746, 29.9958754266, 0.0]]",1
61,BLD00207_PS3_K3A_NIA0276,"[[31.3188567886, 29.9840682147, 0.0], [31.3246927797, 29.9841426056, 0.0], [31.3246074638, 29.9892230958, 0.0], [31.3187711759, 29.9891486898, 0.0]]",225
62,BLD00208_PS3_K3A_NIA0276,"[[31.3246927797, 29.9841426056, 0.0], [31.3305287925, 29.984216738, 0.0], [31.3304437735, 29.9892972433, 0.0], [31.3246074638, 29.9892230958, 0.0]]",47
63,BLD00209_PS3_K3A_NIA0276,"[[31.3305287925, 29.984216738, 0.0], [31.3363648271, 29.984290612, 0.0], [31.3362801049, 29.9893711324, 0.0], [31.3304437735, 29.9892972433, 0.0]]",112
64,BLD00213_PS3_K3A_NIA0276,"[[31.3538730603, 29.9845106831, 0.0], [31.3597091809, 29.9845835232, 0.0], [31.3596256463, 29.9896641033, 0.0], [31.3537892288, 29.9895912483, 0.0]]",56
65,BLD00216_PS3_K3A_NIA0276,"[[31.3713814862, 29.9847284279, 0.0], [31.3772176707, 29.9848004926, 0.0], [31.3771350268, 29.9898811169, 0.0], [31.3712985454, 29.9898090376, 0.0]]",103
66,BLD00217_PS3_K3A_NIA0276,"[[31.3772176707, 29.9848004926, 0.0], [31.3830538762, 29.9848722988, 0.0], [31.3829715292, 29.9899529377, 0.0], [31.3771350268, 29.9898811169, 0.0]]",229
67,BLD00218_PS3_K3A_NIA0276,"[[31.3830538762, 29.9848722988, 0.0], [31.3888901028, 29.9849438465, 0.0], [31.3888080528, 29.9900245, 0.0], [31.3829715292, 29.9899529377, 0.0]]",107
68,BLD00222_PS3_K3A_NIA0276,"[[31.4063989081, 29.9851569385, 0.0], [31.4122352181, 29.9852274522, 0.0], [31.4121543557, 29.9903081636, 0.0], [31.4063177488, 29.9902376355, 0.0]]",35
69,BLD00223_PS3_K3A_NIA0276,"[[31.4122352181, 29.9852274522, 0.0], [31.4180715488, 29.9852977074, 0.0], [31.4179909833, 29.9903784331, 0.0], [31.4121543557, 29.9903081636, 0.0]]",73
70,BLD00225_PS3_K3A_NIA0276,"[[31.4239079, 29.9853677041, 0.0], [31.4297442718, 29.9854374423, 0.0], [31.4296643002, 29.9905181964, 0.0], [31.4238276315, 29.990448444, 0.0]]",155
71,BLD00228_PS3_K3A_NIA0276,"[[31.4414170765, 29.9855761431, 0.0], [31.4472535093, 29.9856451057, 0.0], [31.4471744285, 29.9907259022, 0.0], [31.4413376988, 29.9906569255, 0.0]]",38
72,BLD00234_PS3_K3A_NIA0276,"[[31.3247780737, 29.9790621112, 0.0], [31.3306137898, 29.9791362285, 0.0], [31.3305287925, 29.984216738, 0.0], [31.3246927797, 29.9841426056, 0.0]]",84
73,BLD00241_PS3_K3A_NIA0276,"[[31.3656285394, 29.9795755058, 0.0], [31.3714644058, 29.9796478142, 0.0], [31.3713814862, 29.9847284279, 0.0], [31.3655453229, 29.9846561048, 0.0]]",38
74,BLD00244_PS3_K3A_NIA0276,"[[31.3831362022, 29.9797916557, 0.0], [31.388972132, 29.9798631888, 0.0], [31.3888901028, 29.9849438465, 0.0], [31.3830538762, 29.9848722988, 0.0]]",104
75,BLD00245_PS3_K3A_NIA0276,"[[31.388972132, 29.9798631888, 0.0], [31.3948080827, 29.9799344635, 0.0], [31.3947263504, 29.9850151356, 0.0], [31.3888901028, 29.9849438465, 0.0]]",110
76,BLD00247_PS3_K3A_NIA0276,"[[31.4006440543, 29.9800054797, 0.0], [31.4064800467, 29.9800762375, 0.0], [31.4063989081, 29.9851569385, 0.0], [31.4005626189, 29.9850861663, 0.0]]",175
77,BLD00250_PS3_K3A_NIA0276,"[[31.4181520937, 29.9802169777, 0.0], [31.423988148, 29.9802869601, 0.0], [31.4239079, 29.9853677041, 0.0], [31.4180715488, 29.9852977074, 0.0]]",87
78,BLD00252_PS3_K3A_NIA0276,"[[31.4298242229, 29.980356684, 0.0], [31.4356603182, 29.9804261495, 0.0], [31.4355806639, 29.9855069219, 0.0], [31.4297442718, 29.9854374423, 0.0]]",131
79,BLD00253_PS3_K3A_NIA0276,"[[31.4356603182, 29.9804261495, 0.0], [31.4414964339, 29.9804953566, 0.0], [31.4414170765, 29.9855761431, 0.0], [31.4355806639, 29.9855069219, 0.0]]",100
80,BLD00258_PS3_K3A_NIA0276,"[[31.3190279484, 29.9739072522, 0.0], [31.324863346, 29.9739816127, 0.0], [31.3247780737, 29.9790621112, 0.0], [31.3189423795, 29.9789877355, 0.0]]",40
81,BLD00262_PS3_K3A_NIA0276,"[[31.342369669, 29.9742031443, 0.0], [31.3482051533, 29.9742764714, 0.0], [31.3481210679, 29.97935703, 0.0], [31.3422852869, 29.9792836879, 0.0]]",20
82,BLD00264_PS3_K3A_NIA0276,"[[31.354040659, 29.9743495402, 0.0], [31.3598761861, 29.9744223506, 0.0], [31.3597926942, 29.979502939, 0.0], [31.3539568703, 29.9794301137, 0.0]]",63
83,BLD00265_PS3_K3A_NIA0276,"[[31.3598761861, 29.9744223506, 0.0], [31.3657117345, 29.9744949026, 0.0], [31.3656285394, 29.9795755058, 0.0], [31.3597926942, 29.979502939, 0.0]]",17
84,BLD00267_PS3_K3A_NIA0276,"[[31.3715473042, 29.9745671963, 0.0], [31.3773828951, 29.9746392316, 0.0], [31.3773002934, 29.9797198642, 0.0], [31.3714644058, 29.9796478142, 0.0]]",21
85,BLD00269_PS3_K3A_NIA0276,"[[31.3832185071, 29.9747110085, 0.0], [31.3890541401, 29.974782527, 0.0], [31.388972132, 29.9798631888, 0.0], [31.3831362022, 29.9797916557, 0.0]]",89
86,BLD00270_PS3_K3A_NIA0276,"[[31.3890541401, 29.974782527, 0.0], [31.3948897941, 29.9748537871, 0.0], [31.3948080827, 29.9799344635, 0.0], [31.388972132, 29.9798631888, 0.0]]",61
87,BLD00271_PS3_K3A_NIA0276,"[[31.3948897941, 29.9748537871, 0.0], [31.4007254689, 29.9749247889, 0.0], [31.4006440543, 29.9800054797, 0.0], [31.3948080827, 29.9799344635, 0.0]]",99
88,BLD00273_PS3_K3A_NIA0276,"[[31.4065611646, 29.9749955322, 0.0], [31.4123968809, 29.9750660172, 0.0], [31.4123160599, 29.9801467368, 0.0], [31.4064800467, 29.9800762375, 0.0]]",97
89,BLD00274_PS3_K3A_NIA0276,"[[31.4123968809, 29.9750660172, 0.0], [31.418232618, 29.9751362438, 0.0], [31.4181520937, 29.9802169777, 0.0], [31.4123160599, 29.9801467368, 0.0]]",108
90,BLD00275_PS3_K3A_NIA0276,"[[31.418232618, 29.9751362438, 0.0], [31.4240683755, 29.9752062119, 0.0], [31.423988148, 29.9802869601, 0.0], [31.4181520937, 29.9802169777, 0.0]]",34
91,BLD00276_PS3_K3A_NIA0276,"[[31.4240683755, 29.9752062119, 0.0], [31.4299041536, 29.9752759217, 0.0], [31.4298242229, 29.980356684, 0.0], [31.423988148, 29.9802869601, 0.0]]",117
92,BLD00281_PS3_K3A_NIA0276,"[[31.4532474694, 29.9755521765, 0.0], [31.4590833489, 29.9756205942, 0.0], [31.4590049022, 29.9807014268, 0.0], [31.4531687259, 29.9806329952, 0.0]]",2
93,BLD00282_PS3_K3A_NIA0276,"[[31.4590833489, 29.9756205942, 0.0], [31.4649192484, 29.9756887534, 0.0], [31.4648410985, 29.9807696, 0.0], [31.4590049022, 29.9807014268, 0.0]]",3
94,BLD00284_PS3_K3A_NIA0276,"[[31.3249485965, 29.9689011101, 0.0], [31.3307837191, 29.9689751972, 0.0], [31.3306987653, 29.9740557149, 0.0], [31.324863346, 29.9739816127, 0.0]]",110
95,BLD00290_PS3_K3A_NIA0276,"[[31.3599596567, 29.9693417581, 0.0], [31.3657949084, 29.9694142954, 0.0], [31.3657117345, 29.9744949026, 0.0], [31.3598761861, 29.9744223506, 0.0]]",52
96,BLD00295_PS3_K3A_NIA0276,"[[31.3891361273, 29.9697018611, 0.0], [31.3949714846, 29.9697731067, 0.0], [31.3948897941, 29.9748537871, 0.0], [31.3890541401, 29.974782527, 0.0]]",62
97,BLD00297_PS3_K3A_NIA0276,"[[31.4008068628, 29.969844094, 0.0], [31.4066422617, 29.9699148229, 0.0], [31.4065611646, 29.9749955322, 0.0], [31.4007254689, 29.9749247889, 0.0]]",41
98,BLD00298_PS3_K3A_NIA0276,"[[31.4066422617, 29.9699148229, 0.0], [31.4124776814, 29.9699852935, 0.0], [31.4123968809, 29.9750660172, 0.0], [31.4065611646, 29.9749955322, 0.0]]",106
99,BLD00299_PS3_K3A_NIA0276,"[[31.4124776814, 29.9699852935, 0.0], [31.4183131217, 29.9700555057, 0.0], [31.418232618, 29.9751362438, 0.0], [31.4123968809, 29.9750660172, 0.0]]",68
100,BLD00300_PS3_K3A_NIA0276,"[[31.4183131217, 29.9700555057, 0.0], [31.4241485826, 29.9701254596, 0.0], [31.4240683755, 29.9752062119, 0.0], [31.418232618, 29.9751362438, 0.0]]",71
101,BLD00308_PS3_K3A_NIA0276,"[[31.3191990208, 29.9637462731, 0.0], [31.3250338252, 29.9638206033, 0.0], [31.3249485965, 29.9689011101, 0.0], [31.3191134955, 29.9688267647, 0.0]]",38
102,BLD00311_PS3_K3A_NIA0276,"[[31.3367034991, 29.963968489, 0.0], [31.3425383686, 29.9640420445, 0.0], [31.3424540296, 29.9691225965, 0.0], [31.3366188635, 29.969049026, 0.0]]",19
103,BLD00314_PS3_K3A_NIA0276,"[[31.354208172, 29.9641883808, 0.0], [31.3600431059, 29.9642611615, 0.0], [31.3599596567, 29.9693417581, 0.0], [31.3541244262, 29.9692689625, 0.0]]",25
104,BLD00323_PS3_K3A_NIA0276,"[[31.4067233381, 29.9648341095, 0.0], [31.4125584612, 29.9649045657, 0.0], [31.4124776814, 29.9699852935, 0.0], [31.4066422617, 29.9699148229, 0.0]]",21
105,BLD00325_PS3_K3A_NIA0276,"[[31.4183936049, 29.9649747636, 0.0], [31.4242287691, 29.9650447032, 0.0], [31.4241485826, 29.9701254596, 0.0], [31.4183131217, 29.9700555057, 0.0]]",14
106,BLD00328_PS3_K3A_NIA0276,"[[31.435899159, 29.9651838076, 0.0], [31.4417343845, 29.9652529723, 0.0], [31.4416550879, 29.9703337712, 0.0], [31.4358195657, 29.9702645923, 0.0]]",6
107,BLD00330_PS3_K3A_NIA0276,"[[31.4475696302, 29.9653218787, 0.0], [31.4534048961, 29.9653905268, 0.0], [31.4533261928, 29.9704713537, 0.0], [31.4474906303, 29.9704026916, 0.0]]",1
108,BLD00332_PS3_K3A_NIA0276,"[[31.4592401822, 29.9654589166, 0.0], [31.4650754883, 29.965527048, 0.0], [31.4649973783, 29.9706079028, 0.0], [31.4591617755, 29.9705397574, 0.0]]",5
109,BLD00334_PS3_K3A_NIA0276,"[[31.3251190321, 29.9587400924, 0.0], [31.3309535617, 29.9588141493, 0.0], [31.3308686513, 29.9638946753, 0.0], [31.3250338252, 29.9638206033, 0.0]]",59
110,BLD00336_PS3_K3A_NIA0276,"[[31.3367881131, 29.958887948, 0.0], [31.342622686, 29.9589614885, 0.0], [31.3425383686, 29.9640420445, 0.0], [31.3367034991, 29.963968489, 0.0]]",1
111,BLD00348_PS3_K3A_NIA0276,"[[31.4068043938, 29.9597533919, 0.0], [31.4126392203, 29.9598238337, 0.0], [31.4125584612, 29.9649045657, 0.0], [31.4067233381, 29.9648341095, 0.0]]",1
112,BLD00357_PS3_K3A_NIA0276,"[[31.4593185688, 29.9603780716, 0.0], [31.4651535783, 29.9604461892, 0.0], [31.4650754883, 29.965527048, 0.0], [31.4592401822, 29.9654589166, 0.0]]",3
113,BLD00359_PS3_K3A_NIA0276,"[[31.3193700057, 29.9535852774, 0.0], [31.3252042172, 29.9536595773, 0.0], [31.3251190321, 29.9587400924, 0.0], [31.3192845242, 29.9586657773, 0.0]]",17
114,BLD00360_PS3_K3A_NIA0276,"[[31.3252042172, 29.9536595773, 0.0], [31.3310384504, 29.9537336191, 0.0], [31.3309535617, 29.9588141493, 0.0], [31.3251190321, 29.9587400924, 0.0]]",2
115,BLD00386_PS3_K3A_NIA0276,"[[31.3311233175, 29.9486530848, 0.0], [31.3369572761, 29.9487268534, 0.0], [31.3368727054, 29.9538074027, 0.0], [31.3310384504, 29.9537336191, 0.0]]",7
116,BLD00402_PS3_K3A_NIA0276,"[[31.4244692058, 29.9498024094, 0.0], [31.430303501, 29.9498720481, 0.0], [31.4302236724, 29.954952831, 0.0], [31.4243890807, 29.9548831781, 0.0]]",4
117,BLD00405_PS3_K3A_NIA0276,"[[31.4419721527, 29.950010551, 0.0], [31.447806509, 29.9500794153, 0.0], [31.4477275696, 29.9551602405, 0.0], [31.4418929169, 29.9550913622, 0.0]]",2
118,BLD00435_PS3_K3A_NIA0276,"[[31.3254596421, 29.9384180072, 0.0], [31.3312929865, 29.9384920037, 0.0], [31.3312081629, 29.9435725463, 0.0], [31.3253745222, 29.9434985347, 0.0]]",49
119,BLD00436_PS3_K3A_NIA0276,"[[31.3312929865, 29.9384920037, 0.0], [31.3371263527, 29.9385657423, 0.0], [31.3370418252, 29.9436462999, 0.0], [31.3312081629, 29.9435725463, 0.0]]",39
120,BLD00452_PS3_K3A_NIA0276,"[[31.4246293945, 29.9396408595, 0.0], [31.4304630972, 29.9397104698, 0.0], [31.4303833093, 29.944791261, 0.0], [31.4245493104, 29.9447216365, 0.0]]",7
121,BLD00491_PS3_K3A_NIA0276,"[[31.354793794, 29.9286241926, 0.0], [31.360626654, 29.9286968694, 0.0], [31.3605433539, 29.933777495, 0.0], [31.3547101979, 29.9337048033, 0.0]]",36
122,BLD00492_PS3_K3A_NIA0276,"[[31.360626654, 29.9286968694, 0.0], [31.3664595351, 29.9287692884, 0.0], [31.3663765311, 29.9338499287, 0.0], [31.3605433539, 29.933777495, 0.0]]",4
123,BLD00543_PS3_K3A_NIA0276,"[[31.3957872426, 29.9189660756, 0.0], [31.401619658, 29.9190369182, 0.0], [31.401538472, 29.9241176543, 0.0], [31.3957057606, 29.9240467972, 0.0]]",2
124,BLD00552_PS3_K3A_NIA0276,"[[31.3550444543, 29.9133823357, 0.0], [31.3608764265, 29.913454968, 0.0], [31.3607931903, 29.918535606, 0.0], [31.3549609223, 29.9184629588, 0.0]]",2
